"","canton","pop_count_BFS","PT_dist_medium","PT_time_medium","PT_dist_big","PT_time_big","str_dist_medium","str_time_medium","str_dist_big","str_time_big","PT_fact_big","PT_fact_medium","single_share","married_share","widowed_share","divorced_share","GA_share","HTA_share","FNT_share","age0_20_share","age20_40_share","age40_60_share","age60._share","birth_munic_share","birth_cant_share","birth_CH_share","birth_notCH_share","male_share","female_share","resid_0_1y_share","resid_1_5y_share","resid_6_10y_share","resid_10.y_share","hh_1_share","hh_2_share","hh_3_5_share","hh_6._share","bus_stops_per_pop","other_stops_per_pop","train_stops_per_pop","bus_stat_per_1000","other_stat_per_1000","train_stat_per_1000","comb_car_per_1000","el_car_per_1000","k_cluster","aggl_cluster"
"1","AG",692755,51.8975555555556,82.191404040404,40.2893737373737,64.8593535353535,46.1988535353535,50.4978181818182,36.9203484848485,43.2520202020202,1.53044109514362,1.66262170808487,0.429403037007759,0.443663134646306,0.0441750121339435,0.0827285106856799,0.0643373342261616,0.290080461930105,0.0294815779140131,0.200021652676632,0.255850914103832,0.288542125282387,0.242485438574965,0.0587191720016456,0.37979949621439,0.274737822173784,0.273643640247995,0.495856399448579,0.491043731189237,0.074255689240785,0.229119963046099,0.131317709724217,0.551887752524341,0.327221996787272,0.35226986910986,0.304796622276476,0.015711511826392,57.6906655311041,0.0172398611341672,6.76426297897525,1.81593781351271,0.00866107065268385,0.15012522464652,636.767688432418,21.876420956904,"3","1"
"2","AI",16293,24.9311666666667,65.8148333333333,78.1486666666667,113.781833333333,20.396,34.4691666666667,71.3208333333333,71.4615,1.59851444264819,1.97041450007296,0.46231433738043,0.428980885534435,0.0497321891298799,0.0589725879552549,0.0224739761250247,0.290286412714135,0.0166106559894061,0.209537838335482,0.255017492174553,0.270484257042902,0.264960412447063,0.153931136070705,0.253667219051126,0.459645246424845,0.132756398453324,0.513165162953416,0.486834837046584,0.059166513226539,0.171300558522065,0.103111765788989,0.665439145645369,0.307230723072307,0.347134713471347,0.32013201320132,0.0255025502550255,23.4652304670717,0.258515927085251,14.7523476339532,3.1301786043086,0.368256306389247,0.613760510648745,703.001288897072,20.9292334131222,"3","2"
"3","AR",55473,16.43125,46.319,71.66505,101.6584,17.756,29.1753,70.75145,64.096,1.58283194109342,1.59863631376651,0.426207525171993,0.435506101211625,0.0499699797535753,0.0883163938628068,0.0390522771529225,0.339515227774119,0.0420415366800164,0.201233032285977,0.238043732987219,0.284679033043102,0.273087808483406,0.13615632830386,0.184864708957511,0.475420474825591,0.200602094712743,0.502640924413679,0.494402682386026,0.0566401672885908,0.192652281289997,0.122185567753682,0.625511510104015,0.349008778798994,0.343197461154845,0.287763260932284,0.0200304991138771,67.7195392353037,0.030717646422584,15.4756367962793,3.71351828817623,0.0360535756133615,0.540803634200422,659.383844392768,19.649198709282,"3","2"
"4","BE",1042905,26.564380952381,56.8712738095238,42.5391607142857,67.8065535714286,25.6930714285714,33.7111904761905,41.1623214285714,44.5757946428571,1.53713009906739,1.72968467800348,0.440429755763282,0.418601061027173,0.0524066576217453,0.0885434445437488,0.0868047917882177,0.374014467454514,0.0473114365340718,0.189699924729482,0.249387048676533,0.281133947962662,0.278555573134658,0.14073956880061,0.496624332992938,0.158831341301461,0.202581251408326,0.490515435250574,0.50826105925276,0.0652609777496512,0.210312540451911,0.122529856506585,0.599061275955145,0.375634528322682,0.350552853271889,0.26098376064999,0.0128288577554386,78.4702892401513,0.3133545241417,9.79780900465527,2.87082716067139,0.091091710174944,0.321218135880066,586.346790934937,22.7777218442715,"1","1"
"5","BL",291047,78.4561395348837,99.8969302325581,23.6141744186047,52.0407906976744,74.5306976744186,64.8803488372093,23.9796162790698,31.2554534883721,1.6945496510922,1.5489774973146,0.407512407980953,0.451729329410078,0.0543260731760719,0.0864254057897931,0.0300385659921975,0.279416854828215,0.00135060841454044,0.191560126027755,0.226300219552169,0.291392799101176,0.29047885736668,0.0366366944170529,0.182949832844867,0.50883534274533,0.27131013204053,0.490529021085941,0.509202980961838,0.0658519070802997,0.213278267771185,0.125546733001886,0.594927966960663,0.338707202160802,0.358312487530885,0.291815656604411,0.0111646537039026,75.3615635962577,0.00500262844145447,2.52267503186771,1.80383237071676,0.00687174236463526,0.0721532948286703,576.336467993142,20.7423543276516,"3","1"
"6","BS",196667,88.697,100.329333333333,6.31066666666667,28.814,93.086,75.5923333333333,5.702,15.6473333333333,1.8241615239859,1.32590380163065,0.488414426416226,0.363248536866887,0.0506643209079307,0.0976523768603782,0.0480812744385179,0.344455348380765,0.000803388468833104,0.173989535610957,0.291975776312244,0.277779190204762,0.256601259997864,0.336772310555406,0.0539439763661418,0.179064103281181,0.430565371923098,0.486207650495508,0.514138111630319,0.0554236348751951,0.189986118667595,0.111355743464842,0.643341282472403,0.475550234828253,0.287339738670432,0.226755072597231,0.0103549539040837,161.671734454687,0.155130245541957,1.83447146699751,1.1084726975039,0.0152542114335399,0.0203389485780533,364.214636924344,14.8118393019673,"2","3"
"7","FR",323635,27.938720338983,52.0803559322034,45.8396949152542,75.9095084745763,24.5405169491525,31.2726525423729,41.9561694915254,40.7054661016949,1.86276659779413,1.66858585974162,0.464816342684052,0.410360453789067,0.0411960397923981,0.083587006022509,0.0429589350464248,0.210656435909948,0.00364654874832337,0.216082932933706,0.267841858884237,0.28284950638837,0.214621409921671,0.0760888037449596,0.390801365736092,0.264649991502773,0.249855547144159,0.49132201399725,0.490073694130734,0.0762989169898188,0.228822593353624,0.131364036646222,0.544570272065753,0.322448366503943,0.316980848666917,0.343387157341344,0.0171836274877957,66.0043413104269,0.0380984751340244,4.88642143155098,2.70057317657237,0.0432586092357131,0.188483940241321,638.54342082902,22.6458819348958,"4","4"
"8","GE",506962,10.2316222222222,42.1463333333333,10.5454444444444,42.8056444444444,9.82073333333333,21.9082888888889,10.2024888888889,22.7881333333333,1.89291562474345,1.95301159892625,0.484307597042953,0.378398334338265,0.0398578554524244,0.0974085977965395,0.0113025113911973,0.170060564593236,0.183804629817792,0.210051246444507,0.278085931489934,0.293534821150303,0.217107002102722,0.109258682110296,0.297872424363167,0.0842508905992954,0.507397004114707,0.483902146511967,0.514876854675498,0.0697882681542206,0.256488652009421,0.135935237749575,0.526544395832429,0.367130788942912,0.265153803431712,0.338211651450341,0.0295037561750348,130.342142014589,0.0304973548313286,2.16316804809828,1.45178534091313,0.0295880164588273,0.0394506886117697,527.185469522371,21.1278162860333,"4","4"
"9","GL",40383,63.129,85.531,70.963,88.1896666666667,58.08,61.918,70.448,64.8723333333333,1.38772755262142,1.41648333027798,0.42042443602506,0.438848030111681,0.056038432013471,0.0846891018497883,0.0515972067454127,0.270807022757101,0.0319193720129758,0.193670603967016,0.257038852982691,0.282668449595127,0.278211128445138,0.194314439244236,0.28328752197707,0.279746427952356,0.254240645816309,0.51073471510289,0.500854319887081,0.0502191516232078,0.177995691256222,0.705148205928237,0.0781021717059159,0.35702932310222,0.340915319265552,0.288407782954234,0.013647574677994,44.8945595919075,0.439689968551123,8.97461803234034,3.61538271054652,0.272391848054875,0.445732114998886,661.466458658346,17.7549959141223,"3","2"
"10","GR",200224,43.7232395833333,80.4477291666667,159.621791666667,171.399729166667,42.7335833333333,49.7386354166667,159.457864583333,123.159604166667,1.39717596976468,1.65642966185788,0.425640503100695,0.436749435327728,0.0535486115305223,0.0840469662628866,0.0396788602546015,0.315774594714502,0.0049767280232101,0.1741499520537,0.240985096691705,0.287448058174844,0.289530725587342,0.17846012466038,0.367982859197699,0.217496404027489,0.228174444622023,0.497278048585584,0.494835783922007,0.0603474108997922,0.192499400671248,0.11460664056257,0.624535520217357,0.389888824376922,0.333182805410404,0.266993527299314,0.00993484291336043,117.695795708806,0.539495764743487,10.8933544430238,7.38672686591018,0.519418251558255,0.599328751797986,639.958246763625,17.0159421447978,"1","5"
"11","JU",73670,53.6184905660377,81.008962264151,65.4599056603774,102.381339622642,51.6935094339623,51.4198490566038,59.9171509433962,70.7524528301887,1.4413338138945,1.57206403531269,0.439822993179363,0.40878271184094,0.0604357112304641,0.0909585837492325,0.0377209534244292,0.200071252833742,0.0516460210207335,0.206909189629429,0.242093117958463,0.270707207818651,0.280819872403964,0.140260621691326,0.453685353603909,0.216424596172119,0.190158816343152,0.495099769241211,0.505429618569295,0.0633772227501018,0.187634043708429,0.109528980589114,0.639079679652504,0.368013652709209,0.318248308648747,0.299110135917596,0.0146279027244469,79.5493823808877,0,8.75102484050495,5.03597122302158,0,0.434369485543641,649.015881634315,18.7457581104927,"1","1"
"12","LU",415620,24.68725,48.9383375,68.1454375,91.8297625,23.4978375,31.7595125,60.169925,60.0269,1.56496664978617,1.58272569871413,0.458739216366672,0.424405342039546,0.0449552385328741,0.0718710885279402,0.0527210484318452,0.356479790559461,0.0581810591633417,0.201799720898898,0.271264616717194,0.28202203936288,0.242767431788653,0.117821567778259,0.42862229921563,0.228790722294404,0.222619219479332,0.497406284586882,0.500447524180742,0.0668230595255281,0.206659929743516,0.11508108368221,0.609167027573264,0.343841626066445,0.342425211084412,0.297788849452173,0.015944313396971,96.6502574467061,0.159229584716809,5.29032048505847,2.11250661662095,0.064963187527068,0.146768682931524,599.983157692123,19.2964727395217,"4","1"
"13","NE",176004,15.0923461538462,40.4112307692308,65.9982692307692,99.0813076923077,15.1494615384615,24.9274230769231,62.4216153846154,59.785,1.65885403564401,1.63439354239472,0.454360570642946,0.384657168103105,0.053744630909776,0.107237630344173,0.037071437784318,0.221150273759708,0.0897942216994679,0.192506988477535,0.238522988113907,0.263937183245835,0.235716233721961,0.172433581054976,0.301481784504898,0.168024590350219,0.288743437649144,0.456364628076635,0.474318765482603,0.0565668962069044,0.183478784573078,0.119372286993477,0.571146110315675,0.408996485543696,0.29932977097242,0.280908271383964,0.0107654720999203,95.4094225131247,0.597986409399786,12.5394479670917,3.2442444489898,0.0965887138928661,0.392036544623986,605.872593804686,17.0337037794596,"1","5"
"14","NW",43256,19.0271818181818,44.6101818181818,78.6896363636364,116.649545454545,20.6112727272727,28.0690909090909,71.4541818181818,61.5511818181818,1.89592046131764,1.58468370209382,0.430375806298849,0.438864819640266,0.0471908357045551,0.0834539522647166,0.0296411949241278,0.404397102464963,0.0380014788621653,0.181778250416127,0.23807101904938,0.297392269280562,0.288861660810061,0.112932309968559,0.30756426854078,0.398511189199186,0.187095431847605,0.515489180691696,0.490614018864435,0.0648002589236175,0.199232476419456,0.116007027926762,0.625693545404106,0.330498427916087,0.368795422916345,0.289624246172878,0.011081902994691,42.8705150730534,1.73409469206584,7.01195209913076,2.26558165341224,0.64730904383207,0.208063621231737,714.51359348992,26.7477344183466,"3","1"
"15","OW",38187,27.2144285714286,53.4852857142857,86.5192857142857,124.473,28.3491428571429,35.9671428571429,79.3071428571428,69.6265714285714,1.79305650726526,1.48649266498477,0.438673124149588,0.44594536570472,0.0474304714779956,0.0679248517454454,0.0248701469929323,0.380060758554374,0.0294606682353259,0.19873255296305,0.241626731610234,0.29198418309896,0.265587765469924,0.178568622829759,0.278366983528426,0.369811716029015,0.171183910754969,0.504569617932804,0.493361615209364,0.050750255322492,0.170817293843455,0.107968680440988,0.668342629690732,0.326362638702597,0.34843311791245,0.307401536398,0.0178027069869528,31.3304265849635,0.621520412705895,8.06096315500039,3.22099143687642,0.523738445020557,0.36661691151439,688.192316757012,22.3374446801267,"3","1"
"16","SG",515763,30.9923376623377,53.889025974026,71.6984025974026,87.6098831168831,30.4607532467532,33.5462987012987,70.0188961038961,58.1573636363636,1.51307641862878,1.65229829826777,0.436019061337627,0.433711996352698,0.0470316564608748,0.0831770878427554,0.0470716717746251,0.303492251072805,0.0484958378247376,0.203936691852653,0.267427093451837,0.27746464946109,0.248730521576771,0.124976006421554,0.365683463141016,0.240992471348274,0.265907015431506,0.500439155193374,0.497119801148977,0.0627633234644595,0.192200681320684,0.117621853448192,0.624767577356266,0.354601872397606,0.333831342768991,0.292856069379492,0.0187107154539106,80.379812045455,0.146553746585156,5.99059645612423,2.51472090863439,0.0988826263225551,0.153171127048664,621.058509431658,18.5763616234588,"3","1"
"17","SH",83109,14.2043846153846,36.7104615384615,41.1411153846154,69.3164230769231,13.8598461538462,24.1942307692308,37.2502307692308,48.7578461538462,1.42761452368189,1.57322231416475,0.411787862633832,0.443285399072868,0.0545738123314179,0.0903408935706853,0.0578918990312315,0.314587436879852,0.0721939787349461,0.186682549423047,0.247494254533203,0.279741062941438,0.286058068319917,0.2014101962483,0.240058236773394,0.245364521291316,0.313142980904595,0.495277286455137,0.504698648762469,0.0623999807481741,0.203840739270115,0.1245833784548,0.608995415658954,0.380208061059125,0.339824350462648,0.265879031836479,0.0140885566417481,136.290353631977,0.0697277069872096,5.06123283880205,2.95996823448724,0.060161955985513,0.060161955985513,639.196717563681,19.0111780914221,"3","1"
"18","SO",277420,51.826679245283,75.7967075471698,42.1913679245283,68.8708867924528,48.8227830188679,48.5411320754717,39.7117169811321,43.0965660377358,1.63664276464526,1.58602588016241,0.42230376918665,0.436171067787035,0.0507744040586732,0.0906699398226247,0.0674974065388325,0.294485089709798,0.0215653591163678,0.189661884507245,0.251290462115204,0.285448057097542,0.26919832744575,0.0848785235383173,0.294791291183044,0.377853074760291,0.238075841684089,0.497328959700094,0.498269771465648,0.070326580635859,0.215651358950328,0.121800879532838,0.58767212169274,0.350620485275051,0.353769216521578,0.280953799818002,0.0146564983853693,69.5514166246125,0.0150457789633047,5.58706293706294,2.66022637156658,0.0180232138995026,0.14418571119602,644.142455482662,17.4608896258381,"3","1"
"19","SZ",162285,37.3104666666667,70.2088,53.7850666666667,83.8617333333333,34.7034,44.3090333333333,52.3449,49.5448,1.67888265846499,1.56368254304931,0.435049813696985,0.438858539882433,0.0441947648147682,0.0818799408465807,0.0497496350840695,0.344603498865019,0.0369062415858523,0.191632005422559,0.248137535816619,0.307372831746619,0.252068891148289,0.143266475644699,0.235868995902271,0.383781618757125,0.23629417382999,0.512117570940013,0.487093693194072,0.064208029084635,0.19914964414456,0.115112302430909,0.620581076501217,0.329925084616147,0.349680653703992,0.304887202073273,0.015507059606588,68.5095788273716,0.518248759897711,6.71569769233139,3.05635148042025,0.258803956003328,0.234155960193487,715.180084419386,25.8187756108081,"3","1"
"20","TG",282783,37.5264,66.0488375,42.0944625,63.282575,32.2416625,39.7490125,39.3673,41.1492375,1.58126234154596,1.68024705979056,0.425451558757854,0.442735978185452,0.0445695232955818,0.087242939761112,0.0444736386103536,0.289314643505188,0.0267009119455944,0.202162081879038,0.259934295908877,0.288737300332764,0.249611893218475,0.0603466262116181,0.312030779785206,0.354137271335264,0.273930894007065,0.504015446473091,0.496430124866063,0.0712100798138502,0.220218329956185,0.135054087409781,0.573697853124127,0.334377573594716,0.350582137032312,0.297939509422384,0.017100779950587,49.4735892893137,0.0920352354985979,9.01356870816138,2.35162651220194,0.0530442070421489,0.268757315680221,706.071439938044,22.1583334217403,"3","1"
"21","TI",352033,22.3917238095238,54.6741523809524,194.000361904762,195.70420952381,22.204580952381,34.5995714285714,205.270752380952,169.152828571429,1.1565751232074,1.60962400958836,0.42686380677064,0.422976694177818,0.060505863728864,0.0896480099078388,0.0105149835105536,0.126463446351871,0.0925130086653997,0.17620223104084,0.217723906565578,0.3022870015027,0.291841957998256,0.11955697335193,0.410552419801553,0.100913834782535,0.357031869171356,0.480915141478214,0.50713995562916,0.0558839654236961,0.194086917987802,0.125621745688614,0.612294870083202,0.405283296091096,0.298582754293061,0.287489669105268,0.00864428051057578,118.390699167408,0.249942476983692,6.31757818159093,4.50525945010837,0.110785068445288,0.230092065232521,728.360693457716,29.1648794289172,"1","5"
"22","UR",36940,57.675,93.5736315789474,95.5748421052632,133.382578947368,55.0771578947368,50.6653684210526,91.8996842105263,77.624,1.70590376709248,1.82192040706552,0.430152303368729,0.462111090981432,0.0534314348271823,0.0543051708226563,0.0370077738000214,0.337575163679112,0.00277274926839866,0.19756361667569,0.241174878180834,0.275744450460206,0.277666486193828,0.23083378451543,0.42652950730915,0.189117487818083,0.145668651867894,0.505739036275041,0.486410395235517,0.0515701136978885,0.173118570655116,0.0920952896589063,0.675121819166215,0.322496167603475,0.359095554420031,0.300843127235565,0.01756515074093,94.7379534380076,2.69309691391446,7.2061180292366,4.73741201949107,0.893340552246887,0.406063887384949,631.348132106118,12.939902544667,"1","2"
"23","VD",813243,54.8560202020202,80.0085016835017,33.1414208754209,63.5331717171717,48.7167676767677,45.039797979798,30.3455555555556,36.1640168350168,1.76139380906161,1.81051073849291,0.478799123186661,0.390473385019971,0.0412543309235578,0.0894430064683281,0.0353030210200995,0.264703684826047,0.0827452692245848,0.214167229229148,0.272231055170472,0.279355616955818,0.214871815681168,0.0968148511576491,0.343598407855954,0.146985587333675,0.393226870689327,0.481750227176871,0.498875489859734,0.0835703473623505,0.253711375320784,0.132131478537165,0.51089649711095,0.376263468046759,0.296689699592639,0.313495448972558,0.0135513833880436,90.8932803602367,0.0724728033318455,9.71251151254914,2.44822273293468,0.0516450802527658,0.318477994892056,554.679228717616,23.2636493643351,"4","4"
"24","VS",346901,44.9634237288136,72.9953389830509,102.485084745763,117.762576271186,44.7767966101695,47.3301355932203,118.244372881356,94.4643474576271,1.32392219287116,1.59278227685501,0.431957700275148,0.426762747072407,0.0529670806413358,0.0882663493421056,0.0493164012650255,0.284999102403759,0.00188578922364133,0.185603385403905,0.245706988449154,0.270281723027607,0.254412642223574,0.153320399768234,0.370390976099809,0.179094323740779,0.253199039495418,0.474123741355603,0.481880997748637,0.0617207791271861,0.198523498058524,0.115839965869225,0.579603402699906,0.368792985913782,0.318232439473809,0.299543058470967,0.0134315161414426,62.6349477228374,2.49595994246197,6.78180806627828,4.69298157111107,0.458344023222764,0.334389350275727,690.574544322444,17.293118209518,"1","5"
"25","ZG",128830,8.64181818181818,27.1586363636364,38.3307272727273,60.9970909090909,8.94563636363636,18.4146363636364,36.0145454545455,40.8297272727273,1.50691159407157,1.49160830378817,0.438815360940733,0.443819227855981,0.0387806561646329,0.0785614685370621,0.0621318225803022,0.422413790734177,0.104026568548995,0.201738725452146,0.246829154699992,0.313816657610805,0.237336024217962,0.104082899945665,0.263036559807498,0.302227741985562,0.33037336024218,0.50630287976403,0.493417682216875,0.0704882403166964,0.233012497089187,0.133858573313669,0.56231467825817,0.323962661198942,0.341948596197773,0.322811561359017,0.011277181244267,97.1885585655515,0.049662345726927,7.53993635022898,2.16564464798572,0.100908173562059,0.16300551113871,721.664208647054,42.6065357447799,"3","1"
"26","ZH",1555643,25.9620127388535,52.6993057324841,19.4203885350318,43.1715286624204,21.8026624203822,29.5541656050955,16.8206942675159,27.5819681528662,1.60421823455538,1.80331830253142,0.471049257338384,0.40199509070051,0.0400199919118131,0.0869054467946587,0.0555615990690333,0.39530511738138,0.120600371761797,0.197390403839441,0.284163525950363,0.291653676325481,0.225365331248879,0.136288981469399,0.336539295969577,0.178621958894168,0.347122701031021,0.497735663002373,0.500837274361791,0.0702031250100441,0.227062378707711,0.130481093669949,0.570648921378491,0.370071857090094,0.328318025020927,0.288204114634804,0.013406003254175,15.616113079929,0.0871253880228304,6.43532160013576,0.79581240683113,0.0160705251783346,0.116993423298276,530.429539425177,24.0865031372879,"4","4"
